Code armoire	Code Support	Date pose support	Forme support	Nature support	Code foyer	Date Pose Foyer	Marque Luminaire	Libellé Réf Luminaire	Puissance foyer (Watt)	Secteur foyer	Code Lampe	Type Lampe	Référence	Puissance	IRC	Type	Douille	Date pose lampe	Nom Régime	Latitude	Longitude
1759-	38600127	38853	CYLINDRIQUE	ALU ANODISE	38600127	38853	COMATELEC	PHYLOS	184	SECTEUR 5	38600127-03	Tube Fluo	FLUO	36W	IR85	T40	D26	40234.63712	HORS CONDUITE	45.18608922	5.734490015
1759-	38600127	38853	CYLINDRIQUE	ALU ANODISE	38600127	38853	COMATELEC	PHYLOS	184	SECTEUR 5	38600127-01	Tube Fluo	FLUO	36W	IR85	T40	D26	40234.63712	NOCTURNE	45.18608922	5.734490015
1759-	38600127	38853	CYLINDRIQUE	ALU ANODISE	38600127	38853	COMATELEC	PHYLOS	184	SECTEUR 5	38600127-04	Tube Fluo	FLUO	36W	IR85	T40	D26	40234.63712	HORS CONDUITE	45.18608922	5.734490015
1759-	38600127	38853	CYLINDRIQUE	ALU ANODISE	38600127	38853	COMATELEC	PHYLOS	184	SECTEUR 5	38600127-02	Tube Fluo	FLUO	36W	IR85	T40	D26	40234.63712	NOCTURNE	45.18608922	5.734490015
1759-	38600129	38853	CYLINDRIQUE	ALU ANODISE	38600129	38853	COMATELEC	PHYLOS	184	SECTEUR 5	38600129-04	Tube Fluo	FLUO	36W	IR85	T40	D26	40234.63712	HORS CONDUITE	45.18605031	5.73439509
1759-	38600129	38853	CYLINDRIQUE	ALU ANODISE	38600129	38853	COMATELEC	PHYLOS	184	SECTEUR 5	38600129-03	Tube Fluo	FLUO	36W	IR85	T40	D26	40234.63712	HORS CONDUITE	45.18605031	5.73439509
1759-	38600129	38853	CYLINDRIQUE	ALU ANODISE	38600129	38853	COMATELEC	PHYLOS	184	SECTEUR 5	38600129-02	Tube Fluo	FLUO	36W	IR85	T40	D26	40430.57308	NOCTURNE	45.18605031	5.73439509
1759-	38600129	38853	CYLINDRIQUE	ALU ANODISE	38600129	38853	COMATELEC	PHYLOS	184	SECTEUR 5	38600129-01	Tube Fluo	FLUO	36W	IR85	T40	D26	40234.63712	NOCTURNE	45.18605031	5.73439509
1759-	38600131	38853	CYLINDRO-CONIQUE	ACIER THERMOLAQUE	38600131	38853	ECLATEC	ELIPT 45	172	SECTEUR 2	38600131	I.C.	TUBE	150W	IR85	T28	E40	40234.63712	NOCTURNE	45.18614629	5.734291562
1759-	38600139	38853	CYLINDRIQUE	ALU ANODISE	38600139	38853	COMATELEC	PHYLOS	184	SECTEUR 5	38600139-04	Tube Fluo	FLUO	36W	IR85	T40	D26	40234.63712	HORS CONDUITE	45.18591665	5.734050356
1759-	38600139	38853	CYLINDRIQUE	ALU ANODISE	38600139	38853	COMATELEC	PHYLOS	184	SECTEUR 5	38600139-03	Tube Fluo	FLUO	36W	IR85	T40	D26	40234.63712	HORS CONDUITE	45.18591665	5.734050356
1759-	38600139	38853	CYLINDRIQUE	ALU ANODISE	38600139	38853	COMATELEC	PHYLOS	184	SECTEUR 5	38600139-02	Tube Fluo	FLUO	36W	IR85	T40	D26	40234.63712	NOCTURNE	45.18591665	5.734050356
1759-	38600139	38853	CYLINDRIQUE	ALU ANODISE	38600139	38853	COMATELEC	PHYLOS	184	SECTEUR 5	38600139-01	Tube Fluo	FLUO	36W	IR85	T40	D26	40234.63712	NOCTURNE	45.18591665	5.734050356
1759-	38600141	38853	CYLINDRIQUE	ALU ANODISE	38600141	38853	COMATELEC	PHYLOS	184	SECTEUR 5	38600141-01	Tube Fluo	FLUO	36W	IR85	T40	D26	40234.63712	NOCTURNE	45.18587116	5.733940225
1759-	38600141	38853	CYLINDRIQUE	ALU ANODISE	38600141	38853	COMATELEC	PHYLOS	184	SECTEUR 5	38600141-04	Tube Fluo	FLUO	36W	IR85	T40	D26	40234.63712	HORS CONDUITE	45.18587116	5.733940225
1759-	38600141	38853	CYLINDRIQUE	ALU ANODISE	38600141	38853	COMATELEC	PHYLOS	184	SECTEUR 5	38600141-03	Tube Fluo	FLUO	36W	IR85	T40	D26	40234.63712	HORS CONDUITE	45.18587116	5.733940225
1759-	38600141	38853	CYLINDRIQUE	ALU ANODISE	38600141	38853	COMATELEC	PHYLOS	184	SECTEUR 5	38600141-02	Tube Fluo	FLUO	36W	IR85	T40	D26	40234.63712	NOCTURNE	45.18587116	5.733940225
1404A	40100108	38566	CYLINDRO-CONIQUE	ACIER THERMOLAQUE	40100108	38566	COMATELEC	TRAM38	172	SECTEUR 1	40100108	I.C.	TUBE	150W	IR85	T28	E40	40351.62851	NOCTURNE	45.18024762	5.710096373
1404A	40100110	38566	CYLINDRO-CONIQUE	ACIER THERMOLAQUE	40100110	38566	COMATELEC	TRAM38	172	SECTEUR 1	40100110	I.C.	TUBE	150W	IR85	T28	E40	40851.46515	NOCTURNE	45.18024287	5.709793252
1404A	40100112	38566	CYLINDRO-CONIQUE	ACIER THERMOLAQUE	40100112	38566	COMATELEC	TRAM38	172	SECTEUR 1	40100112	I.C.	TUBE	150W	IR85	T28	E40	40351.62851	NOCTURNE	45.18023838	5.709520042
1404A	40100114	38566	CYLINDRO-CONIQUE	ACIER THERMOLAQUE	40100114	38566	COMATELEC	TRAM38	172	SECTEUR 1	40100114	I.C.	TUBE	150W	IR85	T28	E40	40351.62851	NOCTURNE	45.1802347	5.709245567
1404A	40100116	38566	CYLINDRO-CONIQUE	ACIER THERMOLAQUE	40100116	38566	COMATELEC	TRAM38	172	SECTEUR 1	40100116	I.C.	TUBE	150W	IR85	T28	E40	40351.62851	NOCTURNE	45.18023068	5.708978471
1404A	40100118	38566	CYLINDRO-CONIQUE	ACIER THERMOLAQUE	40100118	38566	COMATELEC	TRAM38	172	SECTEUR 1	40100118	I.C.	TUBE	150W	IR85	T28	E40	40351.62851	NOCTURNE	45.18022673	5.708721513
1404A	40100120	38566	CYLINDRO-CONIQUE	ACIER THERMOLAQUE	40100120	38566	COMATELEC	TRAM38	172	SECTEUR 1	40100120	I.C.	TUBE	150W	IR85	T28	E40	40351.62851	NOCTURNE	45.18022321	5.70848056
1404A	40100122	38566	CYLINDRO-CONIQUE	ACIER THERMOLAQUE	40100122	38566	COMATELEC	TRAM38	172	SECTEUR 1	40100122	I.C.	TUBE	150W	IR85	T28	E40	40351.62851	NOCTURNE	45.18021917	5.708222261
1404A	40100124	38566	CYLINDRO-CONIQUE	ACIER THERMOLAQUE	40100124	38566	COMATELEC	TRAM38	172	SECTEUR 1	40100124	I.C.	TUBE	150W	IR85	T28	E40	40351.62851	NOCTURNE	45.18021522	5.707956047
1404A	40100126	38566	CYLINDRO-CONIQUE	ACIER THERMOLAQUE	40100126	38566	COMATELEC	TRAM38	172	SECTEUR 1	40100126	I.C.	TUBE	150W	IR85	T28	E40	40351.62851	NOCTURNE	45.18021109	5.707694114
1404A	40100128	38566	CYLINDRO-CONIQUE	ACIER THERMOLAQUE	40100128	38566	COMATELEC	TRAM38	172	SECTEUR 1	40100128	I.C.	TUBE	150W	IR85	T28	E40	40351.62851	NOCTURNE	45.18020707	5.707426725
1404A	40100130	38566	CYLINDRO-CONIQUE	ACIER THERMOLAQUE	40100130	38566	THORN	CONTRAST	90	SECTEUR 1	40100130	I.M.	TUBE	0070W	IR75	T30	R7s	40219	NOCTURNE	45.18025834	5.707333155
1404A	40100132	39031	CYLINDRO-CONIQUE	ACIER THERMOLAQUE	40100132	38566	COMATELEC	TRAM38	172	SECTEUR 1	40100132	I.C.	TUBE	150W	IR85	T28	E40	40351.62851	NOCTURNE	45.18020263	5.707147292
1404A	40100134	40269.56999	CYLINDRO-CONIQUE	ACIER THERMOLAQUE	40100134	40269.59722	THORN	CONTRAST	90	SECTEUR 1	40100134	I.M.	TUBE	0070W	IR75	T30	R7s	40351.62851	NOCTURNE	45.18025643	5.70709101
1404A	40100144	38566	CYLINDRO-CONIQUE	ACIER THERMOLAQUE	40100144	38566	THORN	CONTRAST	90	SECTEUR 1	40100144	I.M.	TUBE	0070W	IR75	T30	R7s	40213.63663	NOCTURNE	45.18026122	5.706816485
1404A	40100146	39031	CYLINDRO-CONIQUE	ACIER THERMOLAQUE	40100146	38566	COMATELEC	TRAM38	172	SECTEUR 1	40100146	I.C.	TUBE	150W	IR85	T28	E40	40351.62851	NOCTURNE	45.18019987	5.706775212
1404A	40100148	40269.56999	CYLINDRO-CONIQUE	ACIER THERMOLAQUE	40100148	38566	THORN	CONTRAST	90	SECTEUR 1	40100148	I.M.	TUBE	0070W	IR75	T30	R7s	40213.63663	NOCTURNE	45.18025805	5.706554499
1759-	38600133	38853	CYLINDRIQUE	ALU ANODISE	38600133	38853	COMATELEC	PHYLOS	184	SECTEUR 5	38600133-04	Tube Fluo	FLUO	36W	IR85	T40	D26	40234.63712	HORS CONDUITE	45.18600348	5.734269599
1759-	38600133	38853	CYLINDRIQUE	ALU ANODISE	38600133	38853	COMATELEC	PHYLOS	184	SECTEUR 5	38600133-03	Tube Fluo	FLUO	36W	IR85	T40	D26	40234.63712	HORS CONDUITE	45.18600348	5.734269599
1759-	38600133	38853	CYLINDRIQUE	ALU ANODISE	38600133	38853	COMATELEC	PHYLOS	184	SECTEUR 5	38600133-02	Tube Fluo	FLUO	36W	IR85	T40	D26	40234.63712	NOCTURNE	45.18600348	5.734269599
1759-	38600133	38853	CYLINDRIQUE	ALU ANODISE	38600133	38853	COMATELEC	PHYLOS	184	SECTEUR 5	38600133-01	Tube Fluo	FLUO	36W	IR85	T40	D26	40234.63712	NOCTURNE	45.18600348	5.734269599
1759-	38600135	38853	CYLINDRIQUE	ALU ANODISE	38600135	38853	COMATELEC	PHYLOS	184	SECTEUR 5	38600135-04	Tube Fluo	FLUO	36W	IR85	T40	D26	40234.63712	HORS CONDUITE	45.18595864	5.734153648
1759-	38600135	38853	CYLINDRIQUE	ALU ANODISE	38600135	38853	COMATELEC	PHYLOS	184	SECTEUR 5	38600135-03	Tube Fluo	FLUO	36W	IR85	T40	D26	40234.63712	HORS CONDUITE	45.18595864	5.734153648
1759-	38600135	38853	CYLINDRIQUE	ALU ANODISE	38600135	38853	COMATELEC	PHYLOS	184	SECTEUR 5	38600135-02	Tube Fluo	FLUO	36W	IR85	T40	D26	40234.63712	NOCTURNE	45.18595864	5.734153648
