Luminaire - Type,Luminaire - Code luminaire,Luminaire - Hauteur de feu,Luminaire - X,Luminaire - Y,Lampe - IRC,Lampe - Température Couleur,Lampe - Régime,Lampe - Régime (simplifié),Latitude,Longitude
CLASSIQUE,150001,8,915372.23,6457509.33,,,GRE NOCTURNE,Fonctionnement standard,45.183226893016794,5.742691396414148
CLASSIQUE,150002,8,915341.12,6457511.48,,3000,GRE NOCTURNE,Fonctionnement standard,45.183255967335874,5.742296490230645
CLASSIQUE,150003,8,915299.73,6457514.81,,2000,GRE NOCTURNE,Fonctionnement standard,45.18329887220351,5.741771298006332
CLASSIQUE,150005,5,915262.16,6457516.79,25,2200,GRE NOCTURNE,Fonctionnement standard,45.18332843245434,5.7412941157774435
CLASSIQUE,400001,8,914584.32,6458292.82,25,2000,GRE NOCTURNE,Fonctionnement standard,45.19052326566468,5.733010855945842
CLASSIQUE,400002,8,914562.35,6458275.88,25,2000,GRE NOCTURNE,Fonctionnement standard,45.1903776714429,5.732723798986248
CLASSIQUE,400003,8,914544.15,6458262.49,25,2000,GRE NOCTURNE,Fonctionnement standard,45.19026284773346,5.732486284795361
CLASSIQUE,400004,8,914520.64,6458244.95,25,2000,GRE NOCTURNE,Fonctionnement standard,45.1901123325981,5.732179368126582
CLASSIQUE,400005,8,914501.11,6458230.27,25,2000,GRE NOCTURNE,Fonctionnement standard,45.18998631354808,5.731924362374733
CLASSIQUE,400006,8,914474.63,6458210.47,60,2870,GRE NOCTURNE,Fonctionnement standard,45.189816384548564,5.731578657238277
CLASSIQUE,500002,10,913024.11,6458144.53,25,2000,CREM NOCTURE AVEC REDUCTION 50% flux - 40 % NRJ en milieu de nuit,Abaissement en milieu de nuit,45.189673198857335,5.713090374838848
CLASSIQUE,500003,10,913027.12,6458126.21,25,2000,CREM NOCTURE AVEC REDUCTION 50% flux - 40 % NRJ en milieu de nuit,Abaissement en milieu de nuit,45.18950740869086,5.713120666451006
CLASSIQUE,500008,9,913001.54,6458087.35,25,2000,CREM NOCTURE AVEC REDUCTION 50% flux - 40 % NRJ en milieu de nuit,Abaissement en milieu de nuit,45.18916562486025,5.712778138495327
CLASSIQUE,500009,9,912998.11,6458061.05,25,2000,CREM NOCTURE AVEC REDUCTION 50% flux - 40 % NRJ en milieu de nuit,Abaissement en milieu de nuit,45.18893001564614,5.71272298579609
CLASSIQUE,500010,9,912996.59,6458041.55,25,2000,CREM NOCTURE AVEC REDUCTION 50% flux - 40 % NRJ en milieu de nuit,Abaissement en milieu de nuit,45.18875500796285,5.7126951139325595
CLASSIQUE,500011,9,912994.48,6458020.93,25,2000,CREM NOCTURE AVEC REDUCTION 50% flux - 40 % NRJ en milieu de nuit,Abaissement en milieu de nuit,45.18857010402377,5.712659244185855
CLASSIQUE,500012,8.5,913001.96,6457963.66,25,2000,CREM NOCTURE AVEC REDUCTION 50% flux - 40 % NRJ en milieu de nuit,Abaissement en milieu de nuit,45.18805242600525,5.7127293854128
CLASSIQUE,500013,8.5,912999.91,6457945.32,25,2000,CREM NOCTURE AVEC REDUCTION 50% flux - 40 % NRJ en milieu de nuit,Abaissement en milieu de nuit,45.18788802094733,5.712695276704406
CLASSIQUE,500018,9,912968.58,6457767.45,25,2000,CREM NOCTURE AVEC REDUCTION 50% flux - 40 % NRJ en milieu de nuit,Abaissement en milieu de nuit,45.186297082700705,5.712218804012668
CLASSIQUE,500019,9,912965.33,6457736.52,25,2000,CREM NOCTURE AVEC REDUCTION 50% flux - 40 % NRJ en milieu de nuit,Abaissement en milieu de nuit,45.18601975299654,5.712163922571925
CLASSIQUE,500020,9,912962.6,6457706.15,25,2000,CREM NOCTURE AVEC REDUCTION 50% flux - 40 % NRJ en milieu de nuit,Abaissement en milieu de nuit,45.18574730185616,5.712115903614908
CLASSIQUE,500021,9,912959.17,6457677.92,25,2000,CREM NOCTURE AVEC REDUCTION 50% flux - 40 % NRJ en milieu de nuit,Abaissement en milieu de nuit,45.18549432470281,5.712059913230454
CLASSIQUE,500022,9,912957.1,6457661.08,25,2000,CREM NOCTURE AVEC REDUCTION 50% flux - 40 % NRJ en milieu de nuit,Abaissement en milieu de nuit,45.18534342400244,5.712026209390425
CLASSIQUE,500023,9,912952.74,6457628.78,25,2000,CREM NOCTURE AVEC REDUCTION 50% flux - 40 % NRJ en milieu de nuit,Abaissement en milieu de nuit,45.185054109028314,5.711956606107185
CLASSIQUE,500024,9,912949.56,6457600.44,25,2000,CREM NOCTURE AVEC REDUCTION 50% flux - 40 % NRJ en milieu de nuit,Abaissement en milieu de nuit,45.18480006466536,5.711903750284103
CLASSIQUE,500026,10,912954.01,6457545.33,25,2000,CREM NOCTURE AVEC REDUCTION 50% flux - 40 % NRJ en milieu de nuit,Abaissement en milieu de nuit,45.18430276191722,5.7119362819045625
CLASSIQUE,500027,9,912952.08,6457517.21,25,2000,CREM NOCTURE AVEC REDUCTION 50% flux - 40 % NRJ en milieu de nuit,Abaissement en milieu de nuit,45.184050310861984,5.711899429036783
